Country,State,Year,Crop Category,Season,Crop Name,"Area (UOM:Ha(Hectare)), Scaling Factor:1000","Production (UOM:t(Tonne)), Scaling Factor:1000","Yield (UOM:Kg/Ha(KilogramperHectare)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Cereals,6.297,13.454,2136.562
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Coarse Cereals,0.041,0.11,2680
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Foodgrains,6.299,13.454,2135.883
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Maize,0.041,0.11,2680
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Pulses,0.002,0,100
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Rice,6.256,13.344,2133
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Tur,0.002,0,100
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Foodgrains,0.644,0.262,407.194
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Moong,0.232,0.097,420
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Pulses,0.644,0.262,407.194
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Urad,0.413,0.165,400
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Groundnut,0.006,0.003,550
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Bajra,31,70.711,2281
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Cereals,1699,4778.454,2812.51
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Coarse Cereals,203,567.214,2794.158
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Foodgrains,1981,4896.066,2471.512
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Jowar,3,3.996,1332
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Kulthi (Horse Gram),3,1,333.333
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Maize,114,433.998,3807
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Moong,11,4.543,413
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Other Pulses,5,3,600
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Pulses,282,117.612,417.064
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Ragi,33,39.501,1197
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Rice,1496,4211.24,2815
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Small Millets,22,19.008,864
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Tur,231,83.853,363
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Urad,32,25.216,788
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Cereals,1131.5,5425.972,4795.38
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Coarse Cereals,304,1754.355,5770.905
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Foodgrains,2093.5,6402.974,3058.502
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Gram,469,532.784,1136
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Jowar,117,407.394,3482
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Kulthi (Horse Gram),23,13,565.217
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Maize,187,1346.961,7203
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Moong,94,76.516,814
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Other Pulses,15,15,1000
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Pulses,962,977.001,1015.594
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Rice,827.5,3671.618,4437
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Urad,361,339.701,941
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Castorseed,16,6.464,404
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Groundnut,746,540.104,724
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Nigerseed,4,1.82,455
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Oilseed,806.001,561.338,696.448
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Sesamum,36.001,8.712,241.993
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Soyabean,2,3.088,1544
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Kharif,Sunflower,2,1.15,575
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2020",Oilseeds and Commercial Crops,Rabi,Groundnut,124,234.98,1895
